,,Accuracy,AUC
Topic_3,Logistic Regression,0.45454545454545453,0.6260580514647501
Topic_3,Random Forest,0.36363636363636365,0.5577155699165269
Topic_3,XGBoost,0.38636363636363635,0.5671747550694919
Topic_4,Logistic Regression,0.29545454545454547,0.4702610224000598
Topic_4,Random Forest,0.4090909090909091,0.5729532314091137
Topic_4,XGBoost,0.36363636363636365,0.6263058391400638
Topic_5,Logistic Regression,0.20454545454545456,0.5302469886026037
Topic_5,Random Forest,0.3409090909090909,0.5566028134076262
Topic_5,XGBoost,0.1590909090909091,0.4740663681238547
